"nest_id"	"fate"	"date_on"	"date_off"	"TDR_extended"	"TDR_short"	"TDR_tot"	"NR_extended"	"NR_short"	"nest_age"	"number"
"SAND_2015A_BS08"	"H"	2015-07-21 02:00:00	"2015-07-22 01:59:00"	0	163	163	0	29	12	11
"SAND_2015A_BS08"	"H"	2015-07-22 02:00:00	"2015-07-23 01:59:00"	0	183	183	0	32	13	11
"SAND_2015A_BS08"	"H"	2015-07-23 02:00:00	"2015-07-24 01:59:00"	0	179	179	0	31	14	11
"SAND_2015A_BS08"	"H"	2015-07-24 02:00:00	"2015-07-25 01:59:00"	0	139	139	0	24.25	15	11
"SAND_2015A_BS08"	"H"	2015-07-25 02:00:00	"2015-07-26 01:59:00"	0	243	243	0	33.75	16	11
"SAND_2015A_BS08"	"H"	2015-07-26 02:00:00	"2015-07-27 01:59:00"	0	304	304	0	25	17	11
"SAND_2015A_BS08"	"H"	2015-07-27 02:00:00	"2015-07-28 01:59:00"	0	262	262	0	39	18	11
"SAND_2015A_BS08"	"H"	2015-07-28 02:00:00	"2015-07-29 01:59:00"	147	246	393	1	17	19	11
"SAND_2015A_BS08"	"H"	2015-07-29 02:00:00	"2015-07-30 01:59:00"	0	268	268	0	25	20	11
"SAND_2015A_BS08"	"H"	2015-07-30 02:00:00	"2015-07-31 01:59:00"	163	300	463	1	13	21	11
"SAND_2016A_BS01"	"A"	2016-07-08 07:00:00	"2016-07-09 06:59:00"	0	306	306	0	22	8	11
"SAND_2016A_BS01"	"A"	2016-07-09 07:00:00	"2016-07-10 06:59:00"	294	177	471	1	24	9	11
"SAND_2016A_BS01"	"A"	2016-07-10 07:00:00	"2016-07-11 06:59:00"	0	261	261	0	47.5	10	11
"SAND_2016A_BS01"	"A"	2016-07-11 07:00:00	"2016-07-12 06:59:00"	0	297	297	0	45.1	11	11
"SAND_2016A_BS01"	"A"	2016-07-12 07:00:00	"2016-07-13 06:59:00"	167	225	392	1	21.4	12	11
"SAND_2016A_BS01"	"A"	2016-07-13 07:00:00	"2016-07-14 06:59:00"	872	78	950	2	5	13	11
"SAND_2016A_BS01"	"A"	2016-07-14 07:00:00	"2016-07-15 06:59:00"	612	66	678	1	16	14	11
"SAND_2016A_BS01"	"A"	2016-07-15 07:00:00	"2016-07-16 06:59:00"	371	226	597	1	23	15	11
"SAND_2016A_BS01"	"A"	2016-07-16 07:00:00	"2016-07-17 06:59:00"	167	341	508	1	21.1176470588235	16	11
"SAND_2016A_BS01"	"A"	2016-07-17 07:00:00	"2016-07-18 06:59:00"	0	334	334	0	37.8823529411765	17	11
"SAND_2016A_BS01"	"A"	2016-07-18 07:00:00	"2016-07-19 06:59:00"	695	90	785	1	11	18	11
"SAND_2016A_BS02"	"H"	2016-07-12 04:00:00	"2016-07-13 03:59:00"	0	233	233	0	34	18	4
